Sample,Region,Age,SiO2,TiO2,Al2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,L.O.I,Total,P,K,Sc,Ti,V,Cr,Mn,Co,Ni,Cu,Zn,Ga,Ge,Rb,Sr,Y,Zr,Nb,Cs,Ba,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,Pb,Th,U,Age (Ma),87Rb/86Sr,87Sr/86Sr,2s,(87Sr/86Sr)i,147Sm/144Nd,143Nd/144Nd,2s,TDM(Ga),εNd(t),,,mAl2O3,mCaO,mNa2O,mK2O,mFeO,TFeO,mMgO,Mg#,Na2O/K2O,0.111111111,0.056847545,0.884353741,Ce/Pb,Nb/Ta,nLa,nCe,nPr,nNd,nSm,nEu,nGd,nTb,nDy,nHo,nEr,nTm,nYb,nLu
TC70,West,Late J,62.16,0.76,18,0.65,3.18,0.13,2.61,4.3,3.74,2.34,0.25,1.74,99.86,,19417,,4556,,,,,,,,,,97,720,,180,9.4,9.9,740,40.8,74.9,7.2,34.5,6.05,1.45,4.47,0.72,4.03,0.84,2.3,0.32,1.72,0.21,5.9,,,10.4,3.26,Late Jura,,,,,,,,,,,,0.176470588,0.076785714,0.060322581,0.024893617,0.052289861,3.76487,0.06525,55.51308244,1.598290598,1.124352332,,,#DIV/0!,#DIV/0!,172.152 ,122.386 ,75.789 ,73.876 ,39.542 ,25.000 ,21.752 ,19.251 ,15.866 ,14.841 ,13.897 ,12.549 ,10.118 ,8.268 
TC76,West,Late J,57.8,0.78,17.45,3.78,2.11,0.1,3.12,2.78,5.76,2.95,0.29,2.42,99.34,,24479,,4676,,,,,,,,,,72,800,,126,7.5,3.3,1120,44.2,77,7.86,36.6,6.82,1.46,4.45,0.68,4.16,0.72,1.91,0.29,1.6,0.21,3.4,,,8.8,1.38,Late Jura,,,,,,,,,,,,0.171078431,0.049642857,0.092903226,0.031382979,0.076545056,5.511244,0.078,50.47071854,1.952542373,1.124472574,,,#DIV/0!,#DIV/0!,186.498 ,125.817 ,82.737 ,78.373 ,44.575 ,25.172 ,21.655 ,18.182 ,16.378 ,12.721 ,11.541 ,11.373 ,9.412 ,8.268 
N7259,West,Early K,70.12,0.4,13.89,2.74,0.94,0.04,1.2,1.38,2.88,4.9,0.1,1.54,100.13,,40677,,2500,,,,,,,,,,125,520,,164,14,3,500,35.8,67.1,6.75,26.5,4.19,0.71,2.61,0.44,2.54,0.48,1.24,0.2,1.2,0.19,6.1,,,13,2.4,Early K,,,,,,,,,,,,0.136176471,0.024642857,0.046451613,0.05212766,0.047297944,3.405452,0.03,38.81086388,0.587755102,1.125925926,,,#DIV/0!,#DIV/0!,151.055 ,109.641 ,71.053 ,56.745 ,27.386 ,12.241 ,12.701 ,11.765 ,10.000 ,8.481 ,7.492 ,7.843 ,7.059 ,7.480 
8,West,Early K,62.86,0.87,17.28,4.05,1.26,0.06,0.84,1.04,7.25,3.39,0.31,1.12,100.33,,,6.6,0.65,,11.2,,,10.4,,,,,74.3,640,12.4,250,16,,1160,46.3,95.2,8,36.4,6.2,1.1,4,0.6,3.7,0.6,1.7,0.2,1.6,0.2,5.7,1.4,,18,2.6,124,0.5412,0.70623,±40,,0.1026,0.512621,±9,,1.158,,,0.169411765,0.018571429,0.116935484,0.03606383,0.06811375,4.90419,0.021,23.56538694,2.138643068,1.134259259,,,#DIV/0!,11.42857143,195.359 ,155.556 ,84.211 ,77.944 ,40.523 ,18.966 ,19.465 ,16.043 ,14.567 ,10.601 ,10.272 ,7.843 ,9.412 ,7.874 
12,West,Early K,56.78,0.96,18.61,3.87,2.48,0.11,1.81,5.71,4.37,1.96,0.58,1.78,99.02,,,14,0.66,,7.2,,,1.8,,,,,54.4,1020,16.9,180,8.4,,910,26.8,48,5.6,28,5,1.6,4.5,0.7,4.5,0.8,2.3,0.3,1.9,0.3,6,1.2,,9.6,1.5,Early K,,,,,,,,,,,,0.18245098,0.101964286,0.070483871,0.020851064,0.082808694,5.962226,0.04525,35.33535946,2.229591837,1.135693215,,,#DIV/0!,7,113.080 ,78.431 ,58.947 ,59.957 ,32.680 ,27.586 ,21.898 ,18.717 ,17.717 ,14.134 ,13.897 ,11.765 ,11.176 ,11.811 
Hj2L1A,West,Late J,62.03,0.58,16.02,0.57,3.83,0.041,2.43,3.63,3.37,4.71,0.14,2.34,99.691,,,8.1,,68,,,,32.2,,,,,111,953,4.32,148,7.3,6.2,1533,40.1,59,6.1,19.5,3.32,0.68,1.86,0.24,1.13,0.21,0.46,0.065,0.4,0.06,4,0.62,,9.1,2.5,Late Jura,,,,,,,,,,,,0.157058824,0.064821429,0.054354839,0.050106383,0.060317861,4.342886,0.06075,50.1784697,0.715498938,1.137055838,,,#DIV/0!,11.77419355,169.198 ,96.405 ,64.211 ,41.756 ,21.699 ,11.724 ,9.051 ,6.417 ,4.449 ,3.710 ,2.779 ,2.549 ,2.353 ,2.362 
Hj2L2A,West,Late J,64.12,0.53,16.03,1.13,2.64,0.03,2.2,1.94,3.62,4.96,0.18,2.24,99.62,,,6.5,,72,,,,28.6,,,,,118,898,5.6,152,6.2,5.3,1493,49.7,81.5,7.44,24.7,3.81,0.86,2.26,0.26,1.23,0.28,0.59,0.071,0.41,0.053,5.1,0.53,,8.7,2.8,Late Jura,,,,,,,,,,,,0.157156863,0.034642857,0.058387097,0.052765957,0.050788528,3.656774,0.055,51.99051462,0.72983871,1.137662338,,,#DIV/0!,11.69811321,209.705 ,133.170 ,78.316 ,52.891 ,24.902 ,14.828 ,10.998 ,6.952 ,4.843 ,4.947 ,3.565 ,2.784 ,2.412 ,2.087 
Hj2L5A,West,Late J,64.8,0.55,16.05,1.19,2.79,0.02,2.02,0.4,1.21,8.44,0.19,2.52,100.18,,,6.1,,76,,,,27.3,,,,,202,441,5.2,166,4.6,6.7,1381,26,60,7.9,28.1,4.21,0.85,2.89,0.34,1.57,0.23,0.77,0.1,0.6,0.08,6.1,0.45,,10.4,3.1,Late Jura,,,,,,,,,,,,0.157352941,0.007142857,0.019516129,0.089787234,0.053621694,3.860762,0.0505,48.50093947,0.143364929,1.1425,,,#DIV/0!,10.22222222,109.705 ,98.039 ,83.158 ,60.171 ,27.516 ,14.655 ,14.063 ,9.091 ,6.181 ,4.064 ,4.653 ,3.922 ,3.529 ,3.150 
Hj2L7B,West,Late J,62.33,0.71,15.88,1.46,3.33,0.062,3.4,3.8,4.58,3.31,0.19,0.82,99.872,,,9.5,,78,,,,54.1,,,,,61,992,5.85,146,8,1.3,1109,33.8,50.2,6.59,20.4,3.47,0.72,1.97,0.26,1.33,0.24,0.67,0.084,0.48,0.073,4.5,0.69,,6.5,1.4,Late Jura,,,,,,,,,,,,0.155686275,0.067857143,0.073870968,0.035212766,0.064495944,4.643708,0.085,56.8577297,1.383685801,1.143576826,,,#DIV/0!,11.5942029,142.616 ,82.026 ,69.368 ,43.683 ,22.680 ,12.414 ,9.586 ,6.952 ,5.236 ,4.240 ,4.048 ,3.294 ,2.824 ,2.874 
18-2,West,Late J,62.16,0.62,15.89,1.46,2.8,0.09,2.78,3.18,3.21,3.66,0.2,4.05,100.1,,,8,,83.4,,,,26.5,,,,,79,904,9.5,171,6.8,3.5,1532,28,61,7.78,29.2,4.98,1.07,3.68,0.48,2.16,0.35,1.01,0.14,0.9,0.14,4.8,0.73,,6.4,1.4,Late Jura,,,,,,,,,,,,0.155784314,0.056785714,0.051774194,0.03893617,0.057134833,4.113708,0.0695,54.88221382,0.87704918,1.149717514,,,#DIV/0!,9.315068493,118.143 ,99.673 ,81.895 ,62.527 ,32.549 ,18.448 ,17.908 ,12.834 ,8.504 ,6.184 ,6.103 ,5.490 ,5.294 ,5.512 
18-3,West,Late J,66.59,0.56,16.57,1.2,2.77,0.1,2.06,0.37,2.46,5.09,0.21,2.55,100.53,,,6.8,,70,,,,18,,,,,114,473,6,150,5.8,2.6,1466,24,55,6.46,24.3,3.91,0.77,2.76,0.35,1.55,0.23,0.69,0.11,0.6,0.09,4.8,0.57,,5.8,1.1,Late Jura,,,,,,,,,,,,0.16245098,0.006607143,0.039677419,0.054148936,0.053468889,3.84976,0.0515,49.06215598,0.483300589,1.154545455,,,#DIV/0!,10.1754386,101.266 ,89.869 ,68.000 ,52.034 ,25.556 ,13.276 ,13.431 ,9.358 ,6.102 ,4.064 ,4.169 ,4.314 ,3.529 ,3.543 
W27-9156,West,Late J,63.62,0.5,17.06,2.66,3.31,0.03,2.35,0.61,2.4,4.25,0.25,3.6,100.64,,,7.1,,70,,,,30,,,,,100,548,8.09,200,20,9.4,1272,26,50,6,22.1,3.98,1.03,2.86,0.45,1.77,0.39,0.68,0.11,0.78,0.13,,1.6,,6.8,,Late Jura,,,,,,,,,,,,0.167254902,0.010892857,0.038709677,0.045212766,0.079214833,5.703468,0.05875,42.58331531,0.564705882,1.162162162,,,#DIV/0!,12.5,109.705 ,81.699 ,63.158 ,47.323 ,26.013 ,17.759 ,13.917 ,12.032 ,6.969 ,6.890 ,4.109 ,4.314 ,4.588 ,5.118 
2-1-1,West,Late J,61.37,0.66,15.96,1.47,3.13,0.09,3.31,3.53,4.15,3.07,0.22,3.1,100.06,,,,,,,,,,,,,,,,11.9,,,,,33,83,6.06,26.8,4.8,1.03,3.65,0.5,3.32,0.49,1.39,0.2,1.32,0.2,,,,,,Late Jura,,,,,,,,,,,,0.156470588,0.063035714,0.066935484,0.032659574,0.061843139,4.452706,0.08275,57.22954812,1.351791531,1.167108753,,,#DIV/0!,#DIV/0!,139.241 ,135.621 ,63.789 ,57.388 ,31.373 ,17.759 ,17.762 ,13.369 ,13.071 ,8.657 ,8.399 ,7.843 ,7.765 ,7.874 
2-1-2,West,Late J,62.11,0.59,15.78,1.72,2.53,0.1,3.28,2.73,4.11,3.23,0.19,3.55,99.92,,,,,,,,,,,,,,,,4.32,,,,,19.4,28.66,2.99,9.66,1.5,0.39,1.09,0.16,0.85,0.14,0.36,0.05,0.31,0.05,,,,,,Late Jura,,,,,,,,,,,,0.154705882,0.04875,0.066290323,0.034361702,0.056634111,4.077656,0.082,59.14850201,1.27244582,1.181034483,,,#DIV/0!,#DIV/0!,81.857 ,46.830 ,31.474 ,20.685 ,9.804 ,6.724 ,5.304 ,4.278 ,3.346 ,2.473 ,2.175 ,1.961 ,1.824 ,1.969 
Wy-l,West,Late J,63.01,0.56,15.81,2.24,2.5,0.06,3.1,2.41,4.62,3.08,0.28,2.14,99.81,,,,,81.8,,,,37,,,,,74,863,9.88,125,4,,1325,35.4,64.6,7.43,30.7,5.25,1.36,3.28,0.38,2.07,0.4,1.03,0.14,0.78,0.12,,0.89,,7.2,,Late Jura,,,,,,,,,,,,0.155,0.043035714,0.074516129,0.032765957,0.062716,4.515552,0.0775,55.27186626,1.5,1.18597561,,,#DIV/0!,4.494382022,149.367 ,105.556 ,78.211 ,65.739 ,34.314 ,23.448 ,15.961 ,10.160 ,8.150 ,7.067 ,6.224 ,5.490 ,4.588 ,4.724 
Wy-2,West,Late J,61.39,0.55,15.36,2.7,3.02,0.08,3.47,2.79,3.89,3.28,0.32,2.73,99.58,,,,,94,,,,40.7,,,,,86,872,12.07,145,5,,1304,40.7,69.9,8.31,34,5.87,1.45,3.75,0.49,2.5,0.5,1.26,0.18,0.98,0.16,,1.12,,7.2,,Late Jura,,,,,,,,,,,,0.150588235,0.049821429,0.062741935,0.034893617,0.075686944,5.44946,0.08675,53.40533848,1.18597561,1.190114068,,,#DIV/0!,4.464285714,171.730 ,114.216 ,87.474 ,72.805 ,38.366 ,25.000 ,18.248 ,13.102 ,9.843 ,8.834 ,7.613 ,7.059 ,5.765 ,6.299 
p2-103,West,Early K,67.63,0.526,15.54,1.59,2.31,0.109,0.888,0.98,4.6,4.38,0.132,0.869,99.554,,,2.62,,33.7,56.2,,5.22,5.06,,,24.4,,87.9,349,9,360,16.1,1.93,762,7.65,28.6,1.65,4.8,1,0.22,1.22,0.24,1.58,0.33,0.93,0.17,1.12,0.17,9.85,1.26,,16.5,4.44,Early K,,,,,,,,,,,,0.152352941,0.0175,0.074193548,0.046595745,0.051953917,3.740682,0.0222,29.93773087,1.050228311,1.204081633,,,#DIV/0!,12.77777778,32.278 ,46.732 ,17.368 ,10.278 ,6.536 ,3.793 ,5.937 ,6.417 ,6.220 ,5.830 ,5.619 ,6.667 ,6.588 ,6.693 
p2-119,West,Early K,68,0.51,15.39,1.54,2.06,0.064,0.829,1.17,4.34,4.92,0.122,0.646,99.591,,,2.5,,33.9,57,,5.54,4.52,,,25.4,,99.8,370,10.3,358,17.4,1.82,784,9.45,14.7,2.71,8.98,1.68,0.21,1.42,0.24,1.55,0.34,1.02,0.2,1.29,0.19,10.8,1.42,,18.4,4,Early K,,,,,,,,,,,,0.150882353,0.020892857,0.07,0.052340426,0.047856833,3.445692,0.020725,30.21937296,0.882113821,1.212543554,,,#DIV/0!,12.25352113,39.873 ,24.020 ,28.526 ,19.229 ,10.980 ,3.621 ,6.910 ,6.417 ,6.102 ,6.007 ,6.163 ,7.843 ,7.588 ,7.480 
p2-129,West,Early K,68.37,0.504,15.5,1.51,2.01,0.161,0.818,0.95,4.9,4.32,0.114,0.415,99.572,,,2.02,,32.2,50.8,,4.25,6.54,,,23.7,,78.1,351,12.5,353,16.6,1.25,716,13.3,20.4,2.25,6.38,1.08,0.2,1.28,0.26,1.86,0.42,1.3,0.25,1.7,0.25,10,1.4,,17.9,3.78,Early K,,,,,,,,,,,,0.151960784,0.016964286,0.079032258,0.045957447,0.046787472,3.368698,0.02045,30.41458777,1.134259259,1.227272727,,,#DIV/0!,11.85714286,56.118 ,33.333 ,23.684 ,13.662 ,7.059 ,3.448 ,6.229 ,6.952 ,7.323 ,7.420 ,7.855 ,9.804 ,10.000 ,9.843 
p21-017,West,Late J,68.21,0.432,15.52,1.25,2.41,0.088,0.753,1.83,4.97,3.9,0.127,0.065,99.555,,,3.79,,27.8,55.7,,3.81,3.34,,,27.9,,85,336,10.4,185,14.2,2.9,771,35.8,49.6,6.53,20.6,3.14,0.84,2.84,0.35,1.82,0.36,1.06,0.2,1.37,0.22,6.2,1.18,,15.3,1.84,Late Jura,,,,,,,,,,,,0.152156863,0.032678571,0.08016129,0.041489362,0.04909375,3.53475,0.018825,27.7169412,1.274358974,1.236024845,,,#DIV/0!,12.03389831,151.055 ,81.046 ,68.737 ,44.111 ,20.523 ,14.483 ,13.820 ,9.358 ,7.165 ,6.360 ,6.405 ,7.843 ,8.059 ,8.661 
p21-036,West,Late J,68,0.493,15.3,1.98,2.04,0.074,0.87,1.75,4.54,3.97,0.152,0.415,99.584,,,4.98,,42.2,60.4,,5.8,6.08,,,27.1,,83.3,436,13.5,160,12,2.71,730,34.9,48.5,7.59,24.9,4.12,0.89,3.5,0.47,2.45,0.48,1.43,0.27,1.81,0.28,5.58,0.86,,10.3,1.8,Late Jura,,,,,,,,,,,,0.15,0.03125,0.073225806,0.042234043,0.053077833,3.821604,0.02175,29.06672428,1.143576826,1.238297872,,,#DIV/0!,13.95348837,147.257 ,79.248 ,79.895 ,53.319 ,26.928 ,15.345 ,17.032 ,12.567 ,9.646 ,8.481 ,8.640 ,10.588 ,10.647 ,11.024 
G0208-1,West,Mid J,71.22,0.29,15.3,1.97,,0.03,0.54,1.94,4.13,3.43,0.16,0.95,99.96,,,,,,,,3.1,,,,19.54,,81.97,577.2,6.5,111,3.74,,921.8,15.01,30.16,4.04,14.92,2.85,0.69,2.01,0.28,1.41,0.24,0.59,0.08,0.49,0.07,3.01,0.3,,5.33,0.58,135,0.411,0.705251,10,0.7045,0.1155,0.512706,11,,2.73,,,0.15,0.034642857,0.066612903,0.036489362,0.024619528,1.772606,0.0135,35.4149193,1.204081633,1.27244582,,,#DIV/0!,12.46666667,63.333 ,49.281 ,42.526 ,31.949 ,18.627 ,11.897 ,9.781 ,7.487 ,5.551 ,4.240 ,3.565 ,3.137 ,2.882 ,2.756 
G0208-3,West,Mid J,71.23,0.34,15.12,2.34,,0.04,0.7,2.01,3.81,3.3,0.09,0.81,99.79,,,,,,,,4.47,,,,20.88,,91.16,508.3,7.43,124.2,4.81,,606.5,15.16,32.86,4.12,15.42,2.72,0.62,1.9,0.27,1.37,0.25,0.67,0.09,0.59,0.09,3.36,0.47,,7.3,1.25,135,0.519,0.70567,13,0.7047,0.1067,0.512706,12,,2.88,,,0.148235294,0.035892857,0.061451613,0.035106383,0.0292435,2.105532,0.0175,37.43836041,1.154545455,1.274358974,,,#DIV/0!,10.23404255,63.966 ,53.693 ,43.368 ,33.019 ,17.778 ,10.690 ,9.246 ,7.219 ,5.394 ,4.417 ,4.048 ,3.529 ,3.471 ,3.543 
Y120811-2,West,Late J,67.1,0.66,13.83,0.39,2.5,0.03,1.48,3.49,6.38,3.07,0.25,1.21,100.39,,,,,,,,,,,,,,83.1,794,8.38,74.8,6.24,,635,36.2,48.6,5.48,20.3,3.12,0.904,2.38,0.319,1.55,0.299,0.855,0.107,0.65,0.092,6.09,4.81,,5.52,,134,,,,,,,,,,,,0.135588235,0.062321429,0.102903226,0.032659574,0.039596139,2.850922,0.037,48.30530695,2.078175896,1.289772727,,,#DIV/0!,1.297297297,152.743 ,79.412 ,57.684 ,43.469 ,20.392 ,15.586 ,11.582 ,8.529 ,6.102 ,5.283 ,5.166 ,4.196 ,3.824 ,3.622 
Y1200607-1,West,Late J,68.51,0.51,14.29,0.26,2.05,0.03,1.25,2.47,5.77,3.78,0.21,1.2,100.33,,,,,,,,,,,,,,82.4,685,9.78,84.3,6.65,,763,22.6,39.9,5.55,21.2,3.75,0.934,2.77,0.381,2.08,0.347,0.975,0.132,0.787,0.117,7.7,5.94,,5.49,,134,,,,,,,,,,,,0.140098039,0.044107143,0.093064516,0.040212766,0.0317215,2.283948,0.03125,49.62562429,1.526455026,1.31147541,,,#DIV/0!,1.11952862,95.359 ,65.196 ,58.421 ,45.396 ,24.510 ,16.103 ,13.479 ,10.187 ,8.189 ,6.131 ,5.891 ,5.176 ,4.629 ,4.606 
Z04,West,Late J,69.71,0.45,13.81,0.66,1.5,0.04,0.86,2.33,5.95,3.25,0.16,1.8,100.52,,,,,,,,,,,,,,100,727,9.66,101,7.27,,864,27.6,48.7,6.12,21.8,3.63,0.985,3.05,0.375,1.92,0.326,0.928,0.121,0.822,0.121,10.2,8.08,,6.13,,134,,,,,,,,,,,,0.135392157,0.041607143,0.095967742,0.034574468,0.0290815,2.093868,0.0215,42.50565918,1.830769231,1.314540059,,,#DIV/0!,0.899752475,116.456 ,79.575 ,64.421 ,46.681 ,23.725 ,16.983 ,14.842 ,10.027 ,7.559 ,5.760 ,5.607 ,4.745 ,4.835 ,4.764 
Z05,West,Late J,69.26,0.46,13.94,0.83,1.4,0.04,0.86,2.29,5.82,3.2,0.14,1.7,99.94,,,,,,,,,,,,,,80,793,9.25,93.6,7.21,,808,25.8,43.9,5.65,21.2,3.76,0.999,2.86,0.367,1.87,0.337,0.944,0.129,0.761,0.105,11.6,10.5,,5.22,,134,,,,,,,,,,,,0.136666667,0.040892857,0.093870968,0.034042553,0.029817139,2.146834,0.0215,41.89633418,1.81875,1.324840764,,,#DIV/0!,0.686666667,108.861 ,71.732 ,59.474 ,45.396 ,24.575 ,17.224 ,13.917 ,9.813 ,7.362 ,5.954 ,5.704 ,5.059 ,4.476 ,4.134 
Y11260l,West,Late J,70.36,0.34,13.59,0.02,1.45,0.01,0.75,1.81,5.33,4.74,0.13,1.59,100.12,,,,,,,,,,,,,,121,535,11.2,81.3,7.21,,611,20.5,37.6,5.11,18.2,3.56,0.898,2.59,0.348,1.92,0.381,1.05,0.143,0.944,0.135,9.38,7.73,,5.94,,134,,,,,,,,,,,,0.133235294,0.032321429,0.085967742,0.050425532,0.020388833,1.467996,0.01875,47.90638454,1.124472574,1.329153605,,,#DIV/0!,0.932729625,86.498 ,61.438 ,53.789 ,38.972 ,23.268 ,15.483 ,12.603 ,9.305 ,7.559 ,6.731 ,6.344 ,5.608 ,5.553 ,5.315 
YD3—1,West,Late J,69.65,0.31,13.36,0.53,1.85,0.07,0.73,1.87,4.34,3.86,0.11,1.65,98.33,,,,,,,,,,,,,,124,371,15.3,173,7.65,,832,31.6,54.2,6.44,23.6,3.92,0.819,3.18,0.475,2.79,0.518,1.65,0.251,1.61,0.27,8.83,5.1,,11.2,,134,,,,,,,,,,,,0.130980392,0.033392857,0.07,0.04106383,0.032317972,2.326894,0.01825,36.09003723,1.124352332,1.343601896,,,#DIV/0!,1.5,133.333 ,88.562 ,67.789 ,50.535 ,25.621 ,14.121 ,15.474 ,12.701 ,10.984 ,9.152 ,9.970 ,9.843 ,9.471 ,10.630 
Y120605,West,Late J,65.33,0.46,13.99,0.1,3.1,0.09,1,2.83,5.67,4.22,0.18,2.84,99.81,,,,,,,,,,,,,,113,538,15.9,241,7.92,,933,29.6,50.4,6.83,23.8,4.08,0.897,3.33,0.493,2.94,0.602,1.89,0.252,1.84,0.267,10.6,5.15,,9.47,,134,,,,,,,,,,,,0.137156863,0.050535714,0.091451613,0.044893617,0.044305278,3.18998,0.025,36.07228887,1.343601896,1.351791531,,,#DIV/0!,1.537864078,124.895 ,82.353 ,71.895 ,50.964 ,26.667 ,15.466 ,16.204 ,13.182 ,11.575 ,10.636 ,11.420 ,9.882 ,10.824 ,10.512 
Y120804,West,Late J,69.02,0.35,13.56,0.02,2.75,0.07,0.86,1.77,5.1,3.51,0.14,2.63,99.78,,,,,,,,,,,,,,107,471,16.3,218,7.67,,796,33.4,55.9,7.01,24.6,4.03,0.822,3.49,0.503,2.81,0.542,1.61,0.247,1.42,0.258,8.69,3.86,,8.42,,134,,,,,,,,,,,,0.132941176,0.031607143,0.082258065,0.037340426,0.038444389,2.767996,0.0215,35.86657634,1.452991453,1.367292225,,,#DIV/0!,1.987046632,140.928 ,91.340 ,73.789 ,52.677 ,26.340 ,14.172 ,16.983 ,13.449 ,11.063 ,9.576 ,9.728 ,9.686 ,8.353 ,10.157 
YL1,West,Late J,72.77,0.27,15.07,1.61,,0.03,0.58,1.43,3.98,3.22,0.09,0.78,99.74,,,,,,,,,,,,,,84.4,510.2,13.28,118.51,9.18,,623.1,16.6,36,4.38,17.02,3.26,0.63,2.66,0.42,2.37,0.42,1.18,0.2,1.26,0.17,4.04,0.74,20.8,5.03,1.01,128,,,,,,,,,,,,0.147745098,0.025535714,0.064193548,0.034255319,0.020120528,1.448678,0.0145,41.88266595,1.236024845,1.383685801,,,1.730769231,12.40540541,70.042 ,58.824 ,46.105 ,36.445 ,21.307 ,10.862 ,12.944 ,11.230 ,9.331 ,7.420 ,7.130 ,7.843 ,7.412 ,6.693 
YL3,West,Late J,68.49,0.57,16.73,2.68,,0.04,0.92,2.37,4.47,2.76,0.22,0.63,99.72,,,,,,,,,,,,,,44,964.8,6.8,188.12,4.81,,1143.1,22.1,51,6.24,25.05,4.05,1.18,2.77,0.32,1.49,0.23,0.57,0.08,0.45,0.06,8.97,0.28,15.96,2.19,0.31,129,,,,,,,,,,,,0.164019608,0.042321429,0.072096774,0.029361702,0.033492556,2.411464,0.023,40.71332899,1.619565217,1.384030418,,,3.195488722,17.17857143,93.249 ,83.333 ,65.684 ,53.640 ,26.471 ,20.345 ,13.479 ,8.556 ,5.866 ,4.064 ,3.444 ,3.137 ,2.647 ,2.362 
0075-3,West,Late J,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,0.5682,0.706208,14,0.7052,0.1,0.512598,12,,0.8,,,,,,,,0,,,#DIV/0!,1.390581717,,,#DIV/0!,#DIV/0!,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 ,0.000 
